dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,12.985312,6.741877,13.015619,4.002632,0.017618,0.000010,0.090539
0.050000,13.184670,6.759958,13.215794,4.003512,0.017618,0.000015,0.090350
0.050000,13.384075,6.778001,13.416014,4.004393,0.017619,0.000019,0.090115
0.050000,13.583528,6.795996,13.616278,4.005274,0.017620,0.000024,0.089832
0.050000,13.783031,6.813933,13.816586,4.006156,0.017622,0.000029,0.089502
0.050000,13.982585,6.831805,14.016937,4.007037,0.017623,0.000033,0.089124
0.050000,14.182189,6.849599,14.217333,4.007918,0.017625,0.000037,0.088700
0.050000,14.381845,6.867309,14.417773,4.008799,0.017627,0.000040,0.088228
0.050000,14.581554,6.884923,14.618257,4.009681,0.017630,0.000044,0.087709
0.050000,14.781316,6.902433,14.818785,4.010562,0.017632,0.000047,0.087143
0.050000,14.981132,6.919829,15.019358,4.011444,0.017634,0.000049,0.086529
0.050000,15.181004,6.937101,15.219974,4.012326,0.017637,0.000051,0.085868
0.050000,15.380931,6.954240,15.420634,4.013208,0.017640,0.000053,0.085160
0.050000,15.580914,6.971237,15.621339,4.014090,0.017642,0.000054,0.084404
0.050000,15.780955,6.988081,15.822087,4.014972,0.017645,0.000055,0.083602
0.050000,15.981053,7.004764,16.022880,4.015855,0.017648,0.000055,0.082751
0.050000,16.181210,7.021276,16.223717,4.016737,0.017650,0.000054,0.081854
0.050000,16.381427,7.037606,16.424598,4.017620,0.017653,0.000052,0.080909
0.050000,16.581702,7.053747,16.625523,4.018503,0.017656,0.000050,0.079917
0.050000,16.782038,7.069687,16.826492,4.019386,0.017658,0.000047,0.078878
0.050000,16.982435,7.085418,17.027506,4.020269,0.017660,0.000044,0.077791
0.050000,17.182894,7.100930,17.228563,4.021152,0.017662,0.000039,0.076657
0.050000,17.383414,7.116213,17.429665,4.022035,0.017664,0.000034,0.075475
0.050000,17.583996,7.131258,17.630811,4.022918,0.017665,0.000027,0.074246
0.050000,17.784642,7.146054,17.832001,4.023801,0.017666,0.000020,0.072970
0.050000,17.985350,7.160593,18.033235,4.024685,0.017667,0.000012,0.071647
0.050000,18.186122,7.174865,18.234514,4.025568,0.017667,0.000003,0.070276
0.050000,18.386957,7.188860,18.435836,4.026451,0.017666,-0.000008,0.068857
0.050000,18.587857,7.202568,18.637203,4.027335,0.017666,-0.000019,0.067392
0.050000,18.788821,7.215980,18.838614,4.028218,0.017664,-0.000032,0.065879
0.050000,18.989849,7.229086,19.040069,4.029101,0.017662,-0.000045,0.064318
0.050000,19.190942,7.241876,19.241568,4.029984,0.017659,-0.000060,0.062710
0.050000,19.392099,7.254341,19.443112,4.030867,0.017655,-0.000077,0.061055
0.050000,19.593322,7.266471,19.644699,4.031749,0.017650,-0.000094,0.059353
0.050000,19.794608,7.278256,19.846331,4.032631,0.017645,-0.000113,0.057603
0.050000,19.995960,7.289687,20.048006,4.033513,0.017638,-0.000133,0.055806
0.050000,20.197376,7.300753,20.249726,4.034395,0.017630,-0.000155,0.053962
0.050000,20.398856,7.311446,20.451490,4.035276,0.017621,-0.000178,0.052071
0.050000,20.600400,7.321755,20.653298,4.036156,0.017611,-0.000202,0.050132
0.050000,20.802009,7.331670,20.855149,4.037036,0.017600,-0.000228,0.048146
0.050000,21.003680,7.341183,21.057045,4.037916,0.017587,-0.000255,0.046113
0.050000,21.205415,7.350282,21.258985,4.038794,0.017573,-0.000284,0.044033
0.050000,21.407212,7.358959,21.460969,4.039672,0.017557,-0.000315,0.041905
0.050000,21.609071,7.367204,21.662996,4.040549,0.017540,-0.000347,0.039731
0.050000,21.810992,7.375007,21.865067,4.041425,0.017521,-0.000381,0.037510
0.050000,22.012973,7.382359,22.067182,4.042300,0.017500,-0.000417,0.035242
0.050000,22.211361,7.389128,22.265686,3.970077,-1.444470,-29.239388,0.032969
0.050000,22.402410,7.395216,22.456832,3.822909,-2.943358,-29.977775,0.030738
0.050000,22.586022,7.400662,22.640525,3.673864,-2.980888,-0.750601,0.028556
0.050000,22.762192,7.405507,22.816761,3.524731,-2.982667,-0.035580,0.026426
0.050000,22.930913,7.409792,22.985537,3.375512,-2.984371,-0.034072,0.024354
0.050000,23.092180,7.413559,23.146848,3.226213,-2.985999,-0.032565,0.022343
0.050000,23.245987,7.416846,23.300689,3.076835,-2.987552,-0.031059,0.020398
0.050000,23.392328,7.419695,23.447058,2.927383,-2.989030,-0.029557,0.018524
0.050000,23.531199,7.422143,23.585952,2.777862,-2.990433,-0.028058,0.016722
0.050000,23.662597,7.424227,23.717365,2.628274,-2.991761,-0.026563,0.014998
0.050000,23.786515,7.425984,23.841296,2.478623,-2.993015,-0.025074,0.013355
0.050000,23.902952,7.427449,23.957742,2.328913,-2.994194,-0.023591,0.011795
0.050000,24.011903,7.428654,24.066699,2.179148,-2.995300,-0.022115,0.010322
0.050000,24.113364,7.429631,24.168166,2.029332,-2.996332,-0.020645,0.008939
0.050000,24.207335,7.430410,24.262139,1.879467,-2.997291,-0.019182,0.007648
0.050000,24.293810,7.431020,24.348617,1.729558,-2.998178,-0.017726,0.006451
0.050000,24.372789,7.431486,24.427598,1.579609,-2.998992,-0.016278,0.005350
0.050000,24.444270,7.431833,24.499079,1.429622,-2.999734,-0.014837,0.004348
0.050000,24.508249,7.432082,24.563059,1.279602,-3.000404,-0.013403,0.003447
0.050000,24.564727,7.432254,24.619536,1.129552,-3.001002,-0.011975,0.002647
0.050000,24.613700,7.432367,24.668510,0.979475,-3.001530,-0.010555,0.001951
0.050000,24.655169,7.432435,24.709979,0.829376,-3.001987,-0.009139,0.001360
0.050000,24.689132,7.432473,24.743942,0.679257,-3.002374,-0.007729,0.000874
0.050000,24.715588,7.432491,24.770398,0.529123,-3.002690,-0.006323,0.000495
0.050000,24.734537,7.432498,24.789347,0.378976,-3.002936,-0.004921,0.000222
0.050000,24.745978,7.432500,24.800788,0.228820,-3.003112,-0.003523,0.000058
0.050000,24.749911,7.432500,24.804721,0.078659,-3.003218,-0.002126,0.000001
0.050000,24.750000,7.432500,24.804810,0.001789,-1.537406,29.316251,0.000000
0.050000,24.750000,7.432500,24.804810,0.000000,-0.035779,30.032542,0.000000
